                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1377,                 3.8442,                 4.1656,                0.00467,                0.86525,                0.08651,                0.02524,                  2.901,                 4.1492,                 4.1246,             0.00041441,             0.00041441,             0.00041441
                      2,                 3.0418,                 3.5206,                 3.9491,                0.00375,                0.89362,                0.13176,                0.03582,                 2.8631,                 4.4923,                 3.7164,             0.00083384,             0.00083384,             0.00083384
                      3,                 3.0329,                 3.3625,                 3.7482,                  0.687,                0.11348,                0.08737,                0.02919,                  2.702,                 14.058,                 4.1826,              0.0012438,              0.0012438,              0.0012438
                      4,                 2.8481,                 3.2647,                 3.5352,                0.69853,                0.04255,                0.05918,                0.01383,                 2.6877,                 13.845,                 3.9821,              0.0013818,              0.0013818,              0.0013818
                      5,                 2.7042,                 3.1897,                 3.3078,                0.06305,                0.39232,                0.06867,                0.01549,                 2.8067,                 15.285,                 3.9985,              0.0013818,              0.0013818,              0.0013818
                      6,                 2.5196,                 3.0417,                 3.1509,                0.47643,                 0.1291,                0.09006,                0.02626,                 2.4124,                 8.6203,                 3.3919,              0.0013661,              0.0013661,              0.0013661
                      7,                  2.416,                 2.8997,                 3.0123,                0.04497,                0.42035,                0.04929,                0.01568,                 2.3414,                 5.6542,                 3.1759,              0.0013504,              0.0013504,              0.0013504
                      8,                 2.2904,                 2.8331,                 2.8906,                0.46907,                0.15366,                0.11549,                 0.0436,                 2.2688,                 6.8067,                 3.1553,              0.0013347,              0.0013347,              0.0013347
                      9,                 2.1967,                 2.7654,                 2.8218,                0.46226,                0.20173,                0.10784,                0.03116,                 2.1591,                 8.8437,                  3.045,               0.001319,               0.001319,               0.001319
                     10,                 2.0715,                 2.6439,                 2.7127,                0.83759,                0.24092,                0.30718,                0.08812,                 2.2331,                 3.4606,                 3.0175,              0.0013032,              0.0013032,              0.0013032
                     11,                 1.9376,                  2.501,                 2.5902,                0.77759,                0.26278,                0.29794,                0.09969,                 2.2229,                 3.8742,                 3.3066,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.9846,                 2.5129,                 2.5883,                0.38767,                0.35521,                0.38919,                 0.1484,                 1.9523,                 2.8377,                 2.7719,              0.0012718,              0.0012718,              0.0012718
                     13,                 1.9043,                 2.3902,                 2.4963,                0.68392,                0.30575,                0.32936,                0.13416,                 2.1307,                 2.9227,                 2.7883,              0.0012561,              0.0012561,              0.0012561
                     14,                 1.9378,                 2.4418,                 2.4998,                0.53849,                0.36564,                0.33967,                0.13229,                 2.3124,                 3.6424,                 3.2762,              0.0012404,              0.0012404,              0.0012404
                     15,                 1.8777,                  2.285,                 2.4306,                0.38748,                0.37622,                0.37619,                 0.1421,                 2.1879,                 2.9609,                 3.1681,              0.0012247,              0.0012247,              0.0012247
                     16,                 1.8231,                 2.2527,                 2.4216,                0.59102,                0.60429,                0.52297,                0.20095,                 2.0509,                 2.6719,                 2.9649,              0.0012089,              0.0012089,              0.0012089
                     17,                 1.7575,                 2.2068,                 2.3453,                0.41093,                0.65687,                0.51469,                0.24161,                 1.7416,                 2.3581,                 2.4902,              0.0011932,              0.0011932,              0.0011932
                     18,                 1.7723,                 2.2242,                 2.3621,                0.29891,                0.29708,                0.30359,                 0.1362,                 1.7247,                 3.0337,                 2.6011,              0.0011775,              0.0011775,              0.0011775
                     19,                 1.7079,                 2.1509,                 2.2861,                0.34841,                0.34594,                0.33889,                0.11434,                 2.2743,                 3.2658,                 3.3364,              0.0011618,              0.0011618,              0.0011618
                     20,                 1.7197,                 2.1629,                 2.2749,                0.47278,                 0.4621,                0.45681,                0.19406,                 1.9782,                 2.4132,                 2.7938,              0.0011461,              0.0011461,              0.0011461
                     21,                 1.6885,                 2.1096,                 2.2519,                0.63465,                0.51496,                0.58629,                0.27044,                 1.6197,                 1.9524,                 2.2848,              0.0011303,              0.0011303,              0.0011303
                     22,                 1.6263,                 1.9971,                 2.1893,                0.59058,                0.52752,                 0.5294,                0.20732,                 1.9578,                 2.2609,                 2.6736,              0.0011146,              0.0011146,              0.0011146
                     23,                 1.6125,                 1.9626,                 2.1846,                 0.4609,                 0.4363,                  0.442,                0.18988,                 1.8881,                 2.2419,                 2.7479,              0.0010989,              0.0010989,              0.0010989
                     24,                 1.7026,                 2.0355,                 2.2393,                0.41562,                0.45064,                0.40112,                0.21341,                 1.4249,                  2.436,                  2.191,              0.0010832,              0.0010832,              0.0010832
                     25,                 1.6254,                 1.9592,                 2.1712,                0.67742,                0.48204,                0.57273,                0.27458,                 1.6297,                 2.1043,                 2.3045,              0.0010675,              0.0010675,              0.0010675
                     26,                  1.579,                 1.9576,                 2.1459,                0.67057,                0.49806,                0.58655,                0.23307,                 1.9639,                 2.3496,                 2.6867,              0.0010517,              0.0010517,              0.0010517
                     27,                  1.558,                 1.9045,                 2.1042,                0.60035,                0.47405,                0.56407,                0.24307,                 1.8521,                 2.2538,                 2.5673,               0.001036,               0.001036,               0.001036
                     28,                  1.593,                 1.8541,                 2.1201,                 0.7079,                0.63211,                0.66574,                0.31432,                  1.747,                 1.7652,                 2.5271,              0.0010203,              0.0010203,              0.0010203
                     29,                 1.5248,                 1.8293,                 2.0549,                0.65909,                0.58655,                0.63247,                0.29585,                 1.7237,                 1.9201,                 2.3915,              0.0010046,              0.0010046,              0.0010046
                     30,                 1.5048,                 1.7841,                 2.0541,                0.59001,                 0.6387,                0.65774,                0.35508,                 1.5673,                 1.8075,                 2.2545,             0.00098887,             0.00098887,             0.00098887
                     31,                 1.5112,                 1.7837,                 2.0486,                0.69204,                0.64787,                0.66383,                0.27244,                 1.6698,                 1.9989,                 2.3882,             0.00097315,             0.00097315,             0.00097315
                     32,                 1.5243,                 1.7997,                 2.0631,                0.52458,                0.63667,                0.66225,                0.31207,                 1.6835,                 1.7397,                 2.4036,             0.00095743,             0.00095743,             0.00095743
                     33,                 1.4734,                 1.7029,                 1.9814,                0.66481,                0.67826,                0.71275,                0.39672,                 1.5316,                 1.6329,                 2.1623,             0.00094171,             0.00094171,             0.00094171
                     34,                  1.438,                 1.6941,                 1.9899,                0.80962,                0.63855,                 0.7465,                0.39337,                 1.5557,                 1.7048,                 2.2414,             0.00092599,             0.00092599,             0.00092599
                     35,                 1.4672,                 1.6916,                 2.0099,                0.57384,                0.60531,                0.65653,                0.28258,                 1.6153,                 1.7532,                  2.311,             0.00091027,             0.00091027,             0.00091027
                     36,                 1.4174,                 1.6532,                 1.9318,                0.51172,                0.71702,                 0.6428,                0.34508,                 1.4409,                 1.7656,                 2.1387,             0.00089455,             0.00089455,             0.00089455
                     37,                 1.4014,                 1.6228,                 1.9325,                0.86499,                 0.6195,                0.74766,                 0.3486,                 1.6879,                 1.6242,                 2.3377,             0.00087884,             0.00087884,             0.00087884
                     38,                 1.3872,                 1.5669,                 1.9232,                0.62062,                0.61934,                0.69784,                0.32405,                 1.5576,                  1.688,                 2.2212,             0.00086312,             0.00086312,             0.00086312
                     39,                 1.4142,                 1.6002,                 1.9268,                0.67283,                0.64256,                0.74062,                0.44634,                 1.3052,                 1.3998,                 1.9143,              0.0008474,              0.0008474,              0.0008474
                     40,                 1.4242,                 1.5736,                 1.9291,                0.61023,                0.69181,                0.72635,                0.41996,                 1.5081,                 1.4774,                 2.1181,             0.00083168,             0.00083168,             0.00083168
                     41,                  1.417,                 1.5541,                 1.9116,                0.72696,                0.58069,                0.72311,                0.34292,                 1.7562,                 1.5237,                 2.4623,             0.00081596,             0.00081596,             0.00081596
                     42,                  1.425,                 1.6153,                 1.9489,                0.69144,                0.65181,                 0.7707,                0.33113,                 1.6678,                 1.4987,                  2.327,             0.00080024,             0.00080024,             0.00080024
                     43,                 1.4135,                 1.5231,                 1.9326,                0.74166,                0.64924,                0.79708,                0.39481,                 1.5776,                 1.3807,                 2.2152,             0.00078452,             0.00078452,             0.00078452
                     44,                   1.41,                 1.5232,                 1.9304,                0.72057,                0.73904,                0.76166,                0.34811,                 1.7289,                 1.4768,                 2.3752,              0.0007688,              0.0007688,              0.0007688
                     45,                 1.3652,                 1.5038,                  1.886,                0.64771,                0.62682,                0.73814,                0.45128,                 1.4044,                 1.3424,                 2.0204,             0.00075308,             0.00075308,             0.00075308
                     46,                  1.365,                 1.4507,                 1.8507,                0.72083,                0.63803,                0.72201,                0.41842,                  1.501,                 1.4874,                 2.1535,             0.00073736,             0.00073736,             0.00073736
                     47,                 1.3197,                 1.4002,                 1.8456,                0.67655,                0.70317,                0.75707,                0.44272,                 1.3768,                 1.3071,                 1.9324,             0.00072164,             0.00072164,             0.00072164
                     48,                 1.3068,                 1.4586,                  1.844,                0.70882,                0.79598,                0.79882,                0.41576,                 1.4957,                 1.3777,                   2.12,             0.00070593,             0.00070593,             0.00070593
                     49,                 1.3157,                 1.4094,                 1.8326,                0.71548,                   0.64,                0.77549,                0.44236,                 1.4161,                 1.2562,                  2.056,             0.00069021,             0.00069021,             0.00069021
                     50,                 1.2934,                 1.4132,                 1.8089,                0.68884,                0.72113,                0.78035,                0.40461,                 1.5537,                 1.2801,                  2.145,             0.00067449,             0.00067449,             0.00067449
                     51,                 1.3541,                 1.4031,                 1.8551,                0.70615,                0.68172,                0.75997,                0.33832,                 1.7327,                 1.3963,                 2.3569,             0.00065877,             0.00065877,             0.00065877
                     52,                  1.307,                 1.3631,                 1.8197,                0.83712,                0.73621,                0.83972,                0.42409,                 1.5471,                 1.2373,                 2.1325,             0.00064305,             0.00064305,             0.00064305
                     53,                 1.2759,                  1.338,                 1.7848,                0.71819,                0.80615,                0.75779,                0.39172,                 1.5943,                 1.2622,                 2.1446,             0.00062733,             0.00062733,             0.00062733
                     54,                  1.267,                 1.3211,                 1.7814,                0.62937,                0.79752,                0.80869,                0.39818,                  1.596,                 1.2383,                 2.2164,             0.00061161,             0.00061161,             0.00061161
                     55,                 1.2952,                  1.326,                 1.7919,                0.77163,                0.72228,                0.82294,                0.47478,                  1.242,                 1.1247,                 1.8392,             0.00059589,             0.00059589,             0.00059589
                     56,                 1.1998,                 1.2612,                 1.7406,                0.81863,                0.68297,                0.82705,                 0.5055,                 1.3836,                 1.1027,                 1.9808,             0.00058017,             0.00058017,             0.00058017
                     57,                 1.2579,                 1.3203,                 1.7916,                0.85777,                0.69137,                0.78179,                0.38432,                 1.6994,                  1.513,                 2.2582,             0.00056445,             0.00056445,             0.00056445
                     58,                 1.2483,                 1.2928,                 1.7626,                0.70261,                0.76123,                0.78606,                0.42061,                 1.5257,                 1.1826,                 2.1227,             0.00054874,             0.00054874,             0.00054874
                     59,                 1.2377,                 1.2762,                   1.76,                0.76521,                0.75729,                0.80785,                0.43879,                 1.4688,                 1.2878,                 2.0228,             0.00053302,             0.00053302,             0.00053302
                     60,                 1.2399,                 1.2787,                 1.7528,                0.78909,                0.77957,                0.83741,                0.46621,                 1.4954,                 1.1778,                 2.0337,              0.0005173,              0.0005173,              0.0005173
                     61,                 1.2296,                 1.2467,                 1.7342,                0.74343,                0.82925,                0.83288,                0.37013,                   1.76,                 1.3966,                 2.3557,             0.00050158,             0.00050158,             0.00050158
                     62,                 1.2293,                 1.2773,                  1.766,                0.77949,                0.75242,                0.81675,                0.43334,                 1.5893,                 1.1645,                 2.1108,             0.00048586,             0.00048586,             0.00048586
                     63,                 1.2162,                 1.2287,                 1.7488,                0.77379,                0.73776,                0.84334,                0.46339,                 1.4822,                 1.1555,                 2.0178,             0.00047014,             0.00047014,             0.00047014
                     64,                 1.1918,                 1.2096,                 1.7333,                0.88653,                0.75566,                0.86681,                0.40103,                 1.5182,                 1.1985,                 2.0398,             0.00045442,             0.00045442,             0.00045442
                     65,                 1.2459,                 1.2558,                 1.7438,                0.64062,                0.80478,                0.81744,                0.46233,                 1.5439,                 1.2871,                 2.0921,              0.0004387,              0.0004387,              0.0004387
                     66,                 1.1989,                 1.2306,                 1.7117,                0.77169,                0.76134,                 0.8387,                0.50843,                 1.3076,                  1.093,                 1.9503,             0.00042298,             0.00042298,             0.00042298
                     67,                 1.2144,                 1.2517,                 1.7405,                0.82361,                0.67466,                0.80693,                0.38807,                 1.5398,                 1.2623,                 2.1311,             0.00040727,             0.00040727,             0.00040727
                     68,                 1.1936,                 1.2141,                 1.7212,                0.70495,                0.85816,                0.82007,                 0.4932,                 1.3168,                 1.1084,                 1.9225,             0.00039155,             0.00039155,             0.00039155
                     69,                 1.1504,                 1.1837,                  1.683,                0.70424,                0.74137,                0.82525,                0.49691,                  1.379,                 1.1189,                 1.9298,             0.00037583,             0.00037583,             0.00037583
                     70,                 1.1615,                 1.1718,                 1.6822,                0.84263,                0.69071,                   0.84,                0.47325,                 1.3385,                 1.1146,                 1.9139,             0.00036011,             0.00036011,             0.00036011
                     71,                 1.2144,                 1.2227,                 1.7393,                0.80968,                0.78016,                 0.8636,                0.55418,                 1.2085,                0.99855,                 1.8112,             0.00034439,             0.00034439,             0.00034439
                     72,                 1.1739,                  1.185,                 1.7052,                0.78505,                0.78728,                0.84241,                 0.4474,                 1.5561,                 1.1731,                 2.1446,             0.00032867,             0.00032867,             0.00032867
                     73,                  1.142,                 1.1653,                 1.6869,                0.85654,                0.74481,                0.84077,                0.43984,                 1.5823,                 1.1373,                 2.1196,             0.00031295,             0.00031295,             0.00031295
                     74,                  1.118,                 1.1321,                 1.6673,                0.83028,                0.79714,                0.84835,                0.43995,                 1.5585,                 1.1097,                   2.08,             0.00029723,             0.00029723,             0.00029723
                     75,                 1.1593,                 1.1784,                 1.7082,                0.88236,                0.76456,                0.85435,                0.48569,                 1.4652,                 1.1164,                 2.0219,             0.00028151,             0.00028151,             0.00028151
                     76,                 1.1213,                 1.1305,                 1.6516,                0.82756,                0.81403,                0.85653,                0.47404,                 1.4501,                 1.0916,                 2.0473,             0.00026579,             0.00026579,             0.00026579
                     77,                 1.1165,                 1.0798,                 1.6517,                0.84516,                0.82498,                0.86888,                 0.5364,                 1.2504,                0.97558,                 1.8631,             0.00025007,             0.00025007,             0.00025007
                     78,                 1.1109,                 1.0981,                 1.6528,                0.85058,                0.69564,                0.81291,                0.39771,                 1.7465,                  1.259,                 2.2415,             0.00023436,             0.00023436,             0.00023436
                     79,                 1.1689,                 1.1243,                 1.6884,                0.79235,                0.88437,                0.86922,                0.51682,                 1.2876,                 1.0479,                 1.8397,             0.00021864,             0.00021864,             0.00021864
                     80,                 1.1376,                   1.12,                 1.6582,                0.88544,                0.83917,                0.86663,                 0.4541,                 1.4403,                 1.0953,                 1.9984,             0.00020292,             0.00020292,             0.00020292
                     81,                 1.0771,                 1.1465,                 1.7245,                0.88924,                0.72356,                0.83354,                0.46472,                 1.5659,                 1.3508,                 2.2016,              0.0001872,              0.0001872,              0.0001872
                     82,                 1.0227,                 1.0033,                 1.6637,                0.86484,                0.84688,                 0.8725,                0.53759,                 1.2096,                 1.0402,                 1.7926,             0.00017148,             0.00017148,             0.00017148
                     83,                0.98889,                0.94656,                 1.5964,                0.83036,                0.84111,                0.87978,                0.48364,                 1.4663,                 1.1372,                 2.0204,             0.00015576,             0.00015576,             0.00015576
                     84,                0.96879,                 0.8909,                 1.5801,                0.89934,                0.79212,                0.88329,                0.53042,                 1.2724,                 1.0714,                 1.8665,             0.00014004,             0.00014004,             0.00014004
                     85,                0.92913,                0.84331,                  1.566,                0.85367,                0.79733,                0.87352,                0.49932,                 1.3148,                 1.0332,                 1.8905,             0.00012432,             0.00012432,             0.00012432
                     86,                0.93477,                0.86337,                 1.5581,                0.84884,                0.76338,                0.86749,                0.54245,                 1.2172,                 1.0294,                  1.807,              0.0001086,              0.0001086,              0.0001086
                     87,                0.92891,                0.83547,                 1.5583,                0.76843,                0.77232,                0.86658,                0.50634,                 1.3697,                  1.068,                 1.9262,             9.2885e-05,             9.2885e-05,             9.2885e-05
                     88,                 0.9414,                0.86112,                 1.5737,                0.85305,                0.84674,                0.88443,                0.54216,                 1.2543,                 1.0132,                 1.8355,             7.7166e-05,             7.7166e-05,             7.7166e-05
                     89,                0.92812,                0.82899,                 1.5751,                0.91773,                0.77681,                0.88795,                 0.5644,                 1.2256,                0.98765,                 1.8169,             6.1447e-05,             6.1447e-05,             6.1447e-05
                     90,                0.89999,                0.82907,                 1.5403,                0.89962,                0.81056,                0.88746,                0.56544,                 1.2381,                0.95932,                 1.8322,             4.5728e-05,             4.5728e-05,             4.5728e-05
